,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,DISCREPANCY,DISCREPANCY_LEVEL,DISCREPANCY_S
0,Varanasi,Arazeeline,2016-2017,UP7066,T04-Akelawan Sarai Mohan Chak Mataldei Adalpura To Gyanpur ,7.0,1,Satisfactory,8,Satisfactory,0.0,No Descripancy,0.0
1,Varanasi,Baragaon,2012-2013,UP7044,Baragaon  - Kunwar road,6.0,1,Satisfactory,7,Satisfactory,0.0,No Descripancy,0.0
2,Varanasi,Baragaon,2012-2013,UP7057,Lucknow varanasi( NH 56 Km 263 ) - Baragaon ,3.3,1,Satisfactory,8,Satisfactory,0.0,No Descripancy,0.0
3,Varanasi,Baragaon,2016-2017,UP7064.,ML13-Kuar To Rampur,5.0,1,Satisfactory,9,Satisfactory,0.0,No Descripancy,0.0
4,Varanasi,Baragaon,2020-2021,UP7089,MRL15-Baragaon Anei Road To Kharariya Khas,5.0,1,Satisfactory,3,Satisfactory,0.0,No Descripancy,0.0
5,Varanasi,Chiraigaon,2016-2017,UP7064,ML11-Dubakiya To Jairampur,5.25,1,Satisfactory,8,Satisfactory,0.0,No Descripancy,0.0
6,Varanasi,Cholapur,2012-2013,UP7045,Varanasi Azamgarh road  - Dharsauna - Garthama,6.575,1,Satisfactory,6,Satisfactory,0.0,No Descripancy,0.0
7,Varanasi,Cholapur,2012-2013,UP7048,Varanasi- Azamgarh road  - Mahmoodpur Rampur,5.075,1,Satisfactory,7,Satisfactory,0.0,No Descripancy,0.0
8,Varanasi,Cholapur,2016-2017,UP7065,T04-Chhittampur Dharaura Rajwari  Shree Ram Kutee Se Purapur ,7.4,1,Satisfactory,9,Satisfactory,0.0,No Descripancy,0.0
9,Varanasi,Cholapur,2020-2021,UP7086,MRL16-Chhitampur Dharauhara Rajwari To Dhurwa Tikuri Road,5.15,1,Satisfactory,3,Satisfactory,0.0,No Descripancy,0.0
10,Varanasi,Harahua,2012-2013,UP7055,SH-73 (Km.17) - Tewar Palhi patti road ,6.35,1,Satisfactory,7,Satisfactory,0.0,No Descripancy,0.0
11,Varanasi,Harahua,2020-2021,UP7084,MRL03-Bhojubir Sindhora To  Vedi Via Pauri Khurd,5.0,1,Satisfactory,4,Satisfactory,0.0,No Descripancy,0.0
12,Varanasi,Harahua,2020-2021,UP7085,T09-Bhojubir Sindhora Bedi To Khanpatti,5.0,1,Satisfactory,4,Satisfactory,0.0,No Descripancy,0.0
13,Varanasi,Harahua,2020-2021,UP7088,MRL04-Nh-56(km-266) To Sh-98 Premnagar Via Khanpatti Puarikala,8.0,1,Satisfactory,5,Satisfactory,0.0,No Descripancy,0.0
14,Varanasi,Kashividyapith,2016-2017,UP7067,T04-Nh-2 By Pass To Faridpur Kadipur Road,5.2,1,Satisfactory,10,Satisfactory,0.0,No Descripancy,0.0
15,Varanasi,Kashividyapith,2016-2017,UP7070,ML08-Lahartara to Akelawa km 4  to Mahmoodpur via Bharathara,6.0,1,Satisfactory,8,Satisfactory,0.0,No Descripancy,0.0
16,Varanasi,Pindra,2012-2013,UP7045,Phoolpur- Sindhora to  - Gajokhar  road ,6.5,1,Satisfactory,6,Satisfactory,0.0,No Descripancy,0.0
17,Varanasi,Pindra,2012-2013,UP7046,SH- 98 road  - Mangari- Sindhora road,8.0,1,Satisfactory,7,Satisfactory,0.0,No Descripancy,0.0
18,Varanasi,Pindra,2020-2021,UP7079,MRL11-NH 56 km 259 to Kaharka  jhanjour,6.5,1,Satisfactory,5,Satisfactory,0.0,No Descripancy,0.0
19,Varanasi,Baragaon,2007-2008,UP7035,Remaining part of Newada - Kathiraon,3.6,1,Unsatisfactory,1,Satisfactory,1.0,High,1.0
20,Varanasi,Kashividyapith,2007-2008,UP7042,Panchkoshi road Gram sabha Aurhe  - Bachchaw,2.675,1,Unsatisfactory,1,Satisfactory,1.0,High,1.0
21,Varanasi,Kashividyapith,2020-2021,UP7083,MRL01-Chhitauni Kot via Narottampur Khurd  to Tarapur Shultankeshwar,8.9,1,Unsatisfactory,4,Satisfactory,1.0,High,1.0
22,Varanasi,Sewapuri,2012-2013,UP7043,SH-98 - Shirhira road,2.8,1,Unsatisfactory,4,Satisfactory,1.0,High,1.0
