Textbox2,Textbox256,Textbox3
State: Bihar     District: All Districts     From Month: December     From Year: 2022     To Month: December     To Year: 2023,Note : All Length in Kms.,NQM* : National Quality Monitor     SQM# : State Quality Monitor

Textbox39,Textbox37,Textbox35,Textbox33,Textbox31,Textbox11,Textbox15,Textbox17,Textbox13,Textbox19,Textbox21,Textbox40,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,Textbox67,Textbox72,Textbox73,Textbox74
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2013-2014,BR01R176,PALSI - MADANPUR KHURSALIGHAT,0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2016-2017,BR01R224,L035-BELWAPOOL T04 TO BARSKAMAT (VR35) ,0.820,0,--,1,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2016-2017,BR01R234,L040-BANSWARI TO SAMDA (VR40) ,0.000,1,Required Improvement,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2017-2018,BR01R302,Bansbari - Samda,0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2018-2019,BR01R-309,"Palasi - Madanpur, Khursalighat",0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2019-2020,BR01P2R-01,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",25.000,1,Satisfactory,2,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-16,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,0,--,1,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-17,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,0,--,1,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-18,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-19,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,0,--,1,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-20,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,1,Satisfactory,2,Required Improvement,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2020-2021,BR01P2R-21,"T04-ARARIA HQ PACHKAURI CHOWK TO PALASI PWD ROAD VIA RAMPUR,",0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2022-2023,BR01P3R01,MRL06-PATENGA TO GHURGHURA TOLA,5.200,0,--,2,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2022-2023,BR01P3R02,MRL85-BANSWARI TO SAMDAH,13.126,1,Satisfactory,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2022-2023,BR01P3R03,MRL05-REHKA TOLA BHATTA HOTE NONSOORITOLA TAK,5.892,1,Satisfactory,1,Required Improvement,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2022-2023,BR01P3R04,MRL03-PMGSY ROAD TO FULL KUMAR TOLA,8.120,1,Satisfactory,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Araria,2022-2023,BR01P3R05,MRL98-PATENGA HOSPITAL MORE TO RAJBANSI NAGAR,9.435,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Bhargama,2012-2013,BR01R070,MANULAHAPATTI  RAHRIA CHOWK - Raghunathpur ,11.300,0,--,1,Unsatisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Bhargama,2017-2018,BR01R299,L043-Pwd road to sardar tola jainagar (VR43) ,1.460,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Bhargama,2017-2018,BR01R300,L031-T02 to Bhattaon Kamat (VR8) ,2.037,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Bhargama,2019-2020,BR01P2R-02,T01-GHURNA TO JAINAGAR VIA ACHARA,6.500,0,--,2,Satisfactory,Total,"11,429.448",485,"5,003"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Araria,Bhargama,2020-2021,BR01P2R-65,T01-GHURNA TO JAINAGAR VIA ACHARA,0.000,0,--,1,Satisfactory,Total,"11,429.448",485,"5,003"
