Textbox2,Textbox256,Textbox3
State: Gujarat     District: All Districts     From Month: December     From Year: 2020     To Month: December     To Year: 2023,Note : All Length in Kms.,NQM* : National Quality Monitor     SQM# : State Quality Monitor

Textbox39,Textbox37,Textbox35,Textbox33,Textbox31,Textbox11,Textbox15,Textbox17,Textbox13,Textbox19,Textbox21,Textbox40,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,Textbox67,Textbox72,Textbox73,Textbox74
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Ahmedabad,Bavla,2020-2021,GJ0102P3,T02-Bagodara Sarla Kanotar Kesardi Road,14.140,0,--,13,Satisfactory,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Ahmedabad,Dhandhuka,2020-2021,GJ0103P3,MRL01-Khasta Khadol Rayka Dholi Road,6.005,1,Satisfactory,5,Required Improvement,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Ahmedabad,Dhandhuka,2020-2021,GJ0103P3,T01-Mingalapur Zankhi Rajapur Bavaliyari Road,13.400,0,--,9,Required Improvement,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Ahmedabad,Sanand,2020-2021,GJ0101P3,MRL01-MATODA APP.TO SARI MATODA MODASAR ROAD,5.600,1,Satisfactory,6,Required Improvement,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Amreli,2013-2014,GJ205,T21-Jalia Kamigadh Road (VR-16),6.800,0,--,3,Satisfactory,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Amreli,2013-2014,GJ205,T04-Varsada Nana machiyala Road (VR-20),8.140,0,--,3,Satisfactory,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Babara,2020-2021,GJ0204P3,T04-Sh 31A to kidi nanikundal Road,9.127,1,Satisfactory,5,Satisfactory,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Babara,2020-2021,GJ0204P3,MRL04-badelpipariya khijadiya kotada fulzar Road,6.836,1,Required Improvement,4,Satisfactory,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Bagasara,2020-2021,GJ0205P3,T02-Bagsara juna janjariya samdhiyala kagadadi road,11.780,1,Satisfactory,3,Required Improvement,Total,"3,351.312",309,"2,080"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,2,Amreli,Dhari,2020-2021,GJ0206P3,T01-SH-33 to chhatadiya kaner moti garamali to sh 90 Road,15.660,2,Required Improvement,2,Satisfactory,Total,"3,351.312",309,"2,080"
