Table 1
,,,,,,,,,,,,,,,,,,,,,,
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,Geometrics,Base Course-Water Bound Macadam,Cross Drainage Works,Road Furnitures And Markings,Maintenance,Shoulders,pavement
Gujarat,2020-2021,3,Satisfactory,Completed,6.5,Ahmedabad,Dholka,MRL16 - Dholka to Bhadaj,Patel Ramesh,15 Feb 2023,GJ01001,0,6.5,2,2,2,2,1,1,1,1,1
Gujarat,2018-2019,2,Satisfactory,Maintenance,10.0,Anand,Anklav,Anklav to Sinorda,Shah Tejas,03 Mar 2022,GJ07008,0,10.0,2,2,1,1,1,2,1,2,1
Gujarat,2016-2017,1,Unsatisfactory,In Progress,4.5,Bharuch,Amod,Amod to Limodara,Patel Nirav,14 Aug 2021,GJ03005,0,4.5,1,1,2,1,2,1,2,1,0
Gujarat,2021-2022,1,Satisfactory,Completed,7.2,Bhavnagar,Sihor,Sihor to Madhapar,Desai Ankit,11 Dec 2023,GJ02011,0,7.2,2,2,2,2,1,2,2,1,1
Gujarat,2013-2014,3,Satisfactory,Maintenance,8.5,Surat,Palsana,Palsana to Piplod,Shah Parth,26 Sep 2022,GJ05004,0,8.5,2,2,1,2,1,1,2,2,2
Gujarat,2020-2021,3,Satisfactory,Completed,6.5,Ahmedabad,Dholka,MRL16 - Dholka to Bhadaj,Patel Ramesh,15 Feb 2023,GJ01001,0,6.5,2,2,2,2,1,1,1,2,2
Gujarat,2018-2019,2,Satisfactory,Maintenance,10.0,Anand,Anklav,Anklav to Sinorda,Shah Tejas,03 Mar 2022,GJ07008,0,10.0,2,2,1,1,1,2,1,0,1
Gujarat,2016-2017,1,Unsatisfactory,In Progress,4.5,Bharuch,Amod,Amod to Limodara,Patel Nirav,14 Aug 2021,GJ03005,0,4.5,1,1,2,1,2,1,2,2,2
Gujarat,2021-2022,1,Satisfactory,Completed,7.2,Bhavnagar,Sihor,Sihor to Madhapar,Desai Ankit,11 Dec 2023,GJ02011,0,7.2,2,2,2,2,1,2,2,1,0
Gujarat,2013-2014,3,Satisfactory,Maintenance,8.5,Surat,Palsana,Palsana to Piplod,Shah Parth,26 Sep 2022,GJ05004,0,8.5,2,2,1,2,1,1,2,1,1
