Table 1
State(SQM),Sanction Year,SQM I.C.,SQM_Grade,Status(SQM),Road_Length(SQM),District,Block,Road_name,Monitor Name(SQM),Inspection Date(SQM),Package(SQM),Start Chainage(SQM),End Chainage(SQM),Quality Arrangment(SQM),Attention To Quality(SQM),Geometrics(SQM),Base Course-Water Bound Macadam(SQM),Cross Drainage Works(SQM),Road Furnitures And Markings(SQM),Maintenance(SQM),Shoulders(SQM),pavement(SQM)
Himachal Pradesh,2022-2023,7,Satisfactory,Completed,5.7,Shimla,Rampur,Rampur to Rohru,Negi Vikas,29-Nov-2023,HP11001,0.0,5.7,2,1,2,1,1,1,1,2,1
Himachal Pradesh,2021-2022,6,Unsatisfactory,In Progress,6.2,Kangra,Jaisinghpur,Jaisinghpur to Jawali,Thakur Sanjay,17-May-2023,HP07002,0.0,6.2,1,2,1,2,2,1,2,0,2
Himachal Pradesh,2019-2020,8,Satisfactory,Maintenance,4.3,Kinnaur,Kalpa,Kalpa to Nako,Sharma Rajat,03-Sep-2023,HP09003,0.0,4.3,2,1,1,1,1,1,1,2,1
Himachal Pradesh,2020-2021,7,Satisfactory,Completed,6.5,Chamba,Tissa,Tissa to Saluni,Kumar Gaurav,22-Aug-2023,HP02004,0.0,6.5,2,2,2,2,1,1,2,1,2
Himachal Pradesh,2018-2019,6,Unsatisfactory,In Progress,5.8,Solan,Kunihar,Solan to Chail,Virmani Suresh,29-Jul-2023,HP10001,0.0,5.8,1,2,1,2,1,1,1,0,0
Himachal Pradesh,2017-2018,9,Satisfactory,Maintenance,5.1,Sirmaur,Rajgarh,Rajgarh to Sarahan,Sharma Umesh,11-Jun-2023,HP14005,0.0,5.1,2,1,1,1,1,2,1,1,1
Himachal Pradesh,2023-2024,7,Satisfactory,Completed,8.9,Kullu,Naggar,Manali to Kullu,Thakur Anil,18-Dec-2024,HP11002,0.0,8.9,2,1,2,2,1,1,1,1,2
Himachal Pradesh,2022-2023,8,Unsatisfactory,In Progress,7.8,Mandi,Sunder Nagar,Sunder Nagar to Jogindernagar,Rana Mahesh,27-Oct-2023,HP12007,0.0,7.8,1,2,1,2,2,1,1,1,0
Himachal Pradesh,2021-2022,9,Satisfactory,Maintenance,5.4,Hamirpur,Barsar,Barsar to Mehre,Sharma Geetika,13-Sep-2023,HP10009,0.0,5.4,2,1,1,1,1,2,1,2,1
Himachal Pradesh,2020-2021,6,Satisfactory,Completed,4.6,Bilaspur,Jhanduta,Bilaspur to Swarghat,Chand Neha,29-Aug-2023,HP11010,0.0,4.6,2,1,2,2,1,1,2,1,1
