Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,,Geometrics,Base Course-Water Bound Macadam,,,Cross Drainage Works,,Road Furnitures And Markings,,,Maintenance,Shoulders,pavement
Karnataka,"2013-2014

",3,Unsatisfactory,Maintenance,4.55,Bangalore,Anekal,MRL2-Kathriguppe to SH 35 via Neriga and Chambenahalli,Pankaj Bakaya,23 Oct 2021,KN0349,0,4.55,2,2,,2,2,,,2,,2,,,1,1,0
Karnataka,2019-2020,2,Unsatisfactory,Completed,8.40,Bangalore,Anekal,"MRL03-Hebbagodi to Bangalore South Tq Border via Thirupalya, Hulimangala, S Bingipura, Hullahalli and C K Palya",Binay Kumar Sinha,25 May 2023,KN03-63,4.0,8.0,2,1,,1,1,,,1,,0,,,2,1,2
Karnataka,2013-2014,2,Unsatisfactory,Maintenance,12.60,Belgaum,Athani,MRL2-Patil Tota to SH-31 Aigali cross via Badagi,Parveen Chand Katoch,18 Aug 2018,KN0481,0,12.60,2,2,,2,2,,,2,,2,,,0,1,0
Karnataka,2019-2020,1,Unsatisfactory,In Progress,4.90,Belgaum,Bailahongala,MRL11-Hirenandihalli to Hoskoti,Hotwani Ramesh Nanak Ram,24 Mar 2023,KN04120,0,4.90,1,1,,1,2,,,2,,1,,,2,2,2
Karnataka,2007-2008,1,Unsatisfactory,Maintenance,4.90,Belgaum,Chikkodi,"Yadurwadi, Shapur - T-02",Shivhare Hari Prasad,14 Oct 2015,KN0443,0,4.90,2,2,,2,2,,,2,,2,,,0,1,0
Karnataka,2013-2014,2,Unsatisfactory,Maintenance,3.50,Belgaum,Chikkodi,MRL6-Janawad to MDR-05,Parveen Chand Katoch,19 Aug 2018,KN0486,0,3.50,2,2,,2,2,,,2,,2,,,0,0,1
Karnataka,2020-2021,1,Unsatisfactory,Completed,4.90,Belgaum,Chikkodi,MRL27-Taluka Border to borganwadi via Kasanal,Bachan Lal Bhagat,24 Nov 2022,KN04148,0,4.90,2,1,,1,1,,,1,,1,,,2,2,2
Karnataka,2013-2014,2,Unsatisfactory,Maintenance,4.10,Belgaum,Khanapur,MRL4-Amte to Jath-Jamboti road Via Kalmani,Parveen Chand Katoch,19 Aug 2018,KN0492,0,4.10,2,2,,2,2,,,2,,2,,,1,1,0
Karnataka,2019-2020,1,Unsatisfactory,In Progress,5.17,Belgaum,Soundatti,MRL10-Dundankoppa to Hosur,Srivastava Ashok Kumar,26 Sep 2021,KN04108,0,3.00,1,1,,1,1,,,1,,1,,,2,2,2
Karnataka,2009-2010,1,Unsatisfactory,Maintenance,9.15,Bellary,Bellary,Maremma Camp - T-010,Jain Shikher Chand,27 Feb 2015,KN0538,0,9.15,2,2,,2,2,,,2,,2,,,0,0,1
