Table 1
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,Geometrics,Base Course-Water Bound Macadam,Cross Drainage Works,Road Furnitures And Markings,Maintenance,Shoulders,pavement
Madhya Pradesh,2022-2023,6,Satisfactory,Completed,7.5,Indore,Sanwer,Indore Airport Road,Chauhan Priya,20 Jan 2024,MP07155,0.0,7.5,2,2,2,2,1,2,2,1,2
Madhya Pradesh,2021-2022,4,Unsatisfactory,In Progress,7.3,Bhopal,Berasia,Karondi to Islamnagar,Agrawal Nisha,15 Jun 2022,MP09245,0.0,7.3,1,1,2,2,2,1,1,2,2
Madhya Pradesh,2019-2020,5,Satisfactory,Maintenance,8.6,Dhar,Dhar,Dhar to Kukshi,Sharma Shefali,18 Oct 2023,MP03003,0.0,8.6,2,1,1,1,1,1,2,0,1
Madhya Pradesh,2020-2021,8,Satisfactory,Completed,6.7,Chhindwara,Sausar,Sausar to Pandhurna,Verma Ruchika,29 Nov 2022,MP14004,0.0,6.7,2,2,2,1,1,2,1,1,1
Madhya Pradesh,2018-2019,9,Unsatisfactory,In Progress,7.8,Gwalior,Dabra,Gwalior Bypass,Dwivedi Sarika,10 Apr 2023,MP05005,0.0,7.8,1,2,2,2,2,1,2,2,2
Madhya Pradesh,2017-2018,7,Satisfactory,Maintenance,4.5,Ujjain,Ujjain,Ujjain Ring Road,Yadav Nandini,04 Aug 2023,MP11006,0.0,4.5,2,2,1,2,1,1,1,0,0
Madhya Pradesh,2022-2023,3,Satisfactory,Completed,9.6,Indore,Depalpur,Rau to Hatod,Dixit Tanvi,26 Jan 2024,MP07157,0.0,9.6,2,1,2,2,1,2,2,1,1
Madhya Pradesh,2021-2022,6,Unsatisfactory,In Progress,8.3,Jabalpur,Patan,Patan to Sihora,Pande Meera,11 Nov 2023,MP08007,0.0,8.3,1,1,2,1,2,1,1,2,2
Madhya Pradesh,2019-2020,8,Satisfactory,Maintenance,7.1,Sagar,Deori,Deori to Rehli,Kapoor Nandini,08 Mar 2023,MP10001,0.0,7.1,2,1,2,1,1,1,2,0,1
Madhya Pradesh,2018-2019,3,Satisfactory,Completed,8.9,Rewa,Sirmour,Hanumana to Teonther,Verma Shreya,07 Jan 2023,MP16009,0.0,8.9,2,2,2,2,1,2,1,2,1
