Table 1
,,,,,,,,,,,,,,,,,,,,,,
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,Geometrics,Base Course-Water Bound Macadam,Cross Drainage Works,Road Furnitures And Markings,Maintenance,Shoulders,pavement
Maharashtra,2022-2023,3,Satisfactory,Completed,6.5,Pune,Haveli,Shivaji Chowk to Wagholi,Kulkarni Deepak,20 Jan 2024,MH04222,0.0,6.5,2,2,2,1,1,2,2,1,2
Maharashtra,2021-2022,5,Unsatisfactory,In Progress,4.2,Mumbai,Andheri East,Andheri to Vile Parle,Doshi Neha,11 Aug 2022,MH02125,0.0,4.2,1,1,1,2,2,1,1,2,1
Maharashtra,2019-2020,2,Satisfactory,Maintenance,8.5,Nashik,Igatpuri,Kasara Ghat Road,Kshirsagar Vaibhav,15 Feb 2023,MH05001,0.0,8.5,2,1,1,1,1,2,2,1,1
Maharashtra,2020-2021,1,Satisfactory,Completed,7.6,Aurangabad,Phulambri,Phulambri to Shevgaon,Gaikwad Akash,30 Sep 2022,MH08177,0.0,7.6,2,2,2,2,1,2,1,2,2
Maharashtra,2018-2019,2,Unsatisfactory,In Progress,5.7,Nagpur,Katol,Saoner to Kalmeshwar,Kale Manoj,12 Dec 2022,MH07244,0.0,5.7,1,2,2,1,2,1,2,2,2
Maharashtra,2017-2018,4,Satisfactory,Maintenance,4.8,Solapur,Mohol,Pandharpur to Sangola,Kale Sneha,28 Mar 2023,MH09112,0.0,4.8,2,1,1,1,1,1,1,1,0
Maharashtra,2023-2024,1,Satisfactory,Completed,9.2,Mumbai,Andheri East,SEEPZ to BKC,Patade Rohit,21 Jan 2025,MH02260,0.0,9.2,2,2,2,2,1,2,2,1,2
Maharashtra,2022-2023,1,Unsatisfactory,In Progress,6.8,Pune,Indapur,Talegaon to Lonavala,Shinde Kiran,11 Nov 2023,MH04303,0.0,6.8,1,1,2,2,2,1,1,1,1
Maharashtra,2021-2022,3,Satisfactory,Maintenance,5.5,Aurangabad,Paithan,Paithan to Gangapur,Bhagat Nilesh,28 Apr 2023,MH08199,0.0,5.5,2,2,1,1,1,1,2,0,1
Maharashtra,2020-2021,3,Satisfactory,Completed,7.3,Nashik,Dindori,Shirdi to Trimbakeshwar,Salunkhe Pratik,19 Dec 2022,MH05112,0.0,7.3,2,1,2,2,1,2,1,1,0
