Table 1
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,Geometrics,Base Course-Water Bound Macadam,Cross Drainage Works,Road Furnitures And Markings,Maintenance,Shoulders,pavement
Rajasthan,2022-2023,2,Satisfactory,Completed,6.1,Jaipur,Phulera,Jaipur to Sambhar,Meena Mahendra,29-Nov-2023,RJ11001,0.0,6.1,2,1,2,1,1,1,1,1,1
Rajasthan,2000-2001,1,Unsatisfactory,In Progress,5.4,Dausa,Lalsot,Lalsot to Mahua,Rathore Umesh,27-Apr-2001,RJ07002,0.0,5.4,1,1,1,2,1,1,2,0,2
Rajasthan,2019-2020,3,Satisfactory,Maintenance,4.3,Udaipur,Kherwara,Udaipur to Nathdwara,Mehta Mahesh,10-Aug-2020,RJ09003,0.0,4.3,2,1,1,1,1,1,1,1,1
Rajasthan,2018-2019,2,Satisfactory,Completed,7.1,Sri Ganganagar,Sri Ganganagar,Raisinghnagar to Sri Ganganagar,Chauhan Rajiv,22-Jan-2019,RJ02004,0.0,7.1,2,2,2,2,1,1,2,2,1
Rajasthan,2017-2018,1,Unsatisfactory,In Progress,6.4,Jodhpur,Balesar,Balesar to Shergarh,Sodha Naveen,30-Nov-2017,RJ10001,0.0,6.4,1,1,1,2,1,1,1,0,2
Rajasthan,2005-2006,4,Satisfactory,Maintenance,5.7,Dholpur,Dholpur,Bari to Dholpur,Sharma Vinod,16-May-2006,RJ14005,0.0,5.7,2,1,1,1,1,2,1,1,1
Rajasthan,2021-2022,2,Satisfactory,Completed,7.9,Sikar,Neem Ka Thana,Sikar to Sri Madhopur,Mehta Pawan,08-Mar-2022,RJ11002,0.0,7.9,2,1,2,2,1,1,1,2,2
Rajasthan,2020-2021,3,Unsatisfactory,In Progress,6.8,Barmer,Siwana,Barmer to Balotra,Choudhary Suresh,23-Sep-2020,RJ12007,0.0,6.8,1,1,1,2,2,1,2,0,0
Rajasthan,2019-2020,4,Satisfactory,Maintenance,5.8,Tonk,Uniara,Tonk to Deoli,Sharma Mahendra,04-Jun-2020,RJ10009,0.0,5.8,2,1,1,1,1,1,1,1,1
Rajasthan,2018-2019,1,Satisfactory,Completed,5.2,Karauli,Sapotra,Hindaun to Karauli,Meena Kalpana,14-Jan-2019,RJ11010,0.0,5.2,2,2,2,2,1,2,1,1,1
