,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sanction Year,NQM I.C.,NQM_Grade,Status,Road_Length,District,Block,Road_name,Monitor Name,Inspection Date,Package,Start Chainage,End Chainage,Quality Arrangment,Attention To Quality,,Geometrics,Base Course-Water Bound Macadam,,,Cross Drainage Works,,Road Furnitures And Markings,,,Maintenance,Shoulders,pavement
Uttar Pradesh,2021-2022,1,Unsatisfactory,"In Progress
",5.0,Agra,Achhnera,MRL25-Raibha to Kirawali Achhnera Road via Dhanoli,Jeelani Ghulam,13 Feb 2023,UP01103,0,5.0,1,0,,1,1,,,2,,1,,,2,2,2
Uttar Pradesh,2012-2013,1,Unsatisfactory,Maintenance,9.0,Agra,Bah,Nandgawan Kenjara -  UMretha Pinahat Road (NKUP),Kanuga Mukan Chand,23 Oct 2016,UP0156,0,9.0,2,2,,2,2,,,2,,2,,,0,0,0
Uttar Pradesh,2020-2021,1,Unsatisfactory,Completed,5.0,Agra,Bah,MRL18-Bah Bateswar Road to Nagla Ent,George Joseph,25 Sep 2021,UP0195,0,3.0,2,1,,0,2,,,2,,1,,,2,0,2
Uttar Pradesh,2016-2017,2,Unsatisfactory,Maintenance,5.2,Agra,Etmadpur,"ML06-Mohisinabad to Barhan via sarai Jairam

",George Joseph,26 Sep 2021,UP0179,0,5.2,2,2,,2,2,,,2,,2,,,0,1,0
Uttar Pradesh,2013-2014,2,Unsatisfactory,Maintenance,5.85,Agra,Jagner,MRL05-C A T K Kasimpur Singaich to Dahagawan,George Joseph,27 Sep 2021,UP172,0,5.85,2,2,,2,2,,,2,,2,,,0,0,0
Uttar Pradesh,2012-2013,1,Unsatisfactory,Maintenance,14.00,Agra,Pinahat,"Syahipura  -  Pidora Balai Road

",Kanuga Mukan Chand,23 Oct 2016,"UP0162

",0,14.0,2,2,,2,2,,,2,,2,,,0,0,1
Uttar Pradesh,2012-2013,1,Unsatisfactory,Maintenance,11.15,Aligarh,Akrabad,Vijaygarh  -  Bhilawali Road  (0.00 TO 11.15 KM.),mathur Omesh chandra,"
23 Jun 2019

",UP0254,0,11.15,2,2,,2,2,,,2,,2,,,0,1,0
Uttar Pradesh,2012-2013,1,Unsatisfactory,Maintenance,15.00,Aligarh,Akrabad,"Vijaygarh  -  Bhilawali Road  (11.15 TO 26.15 KM.)

",mathur Omesh chandra,23 Jun 2019,"UP0255
",0,15,2,2,,2,2,,,2,,2,,,0,0,0
Uttar Pradesh,2013-2014,3,Unsatisfactory,Maintenance,15.00,Aligarh,Atrauli,T02-Narona 12 No.to Barla,"George Joseph
",20 Sep 2021,UP263,0,15.00,2,2,,2,2,,,2,,2,,,0,0,0
Uttar Pradesh,2016-2017,3,Unsatisfactory,Maintenance,8.20,Aligarh,Iglas,T06-Aligarh Mathura Road To Dokauli Via Jaitholi,George Joseph,22 Sep 2021,UP268,0,8.2,2,2,,2,2,,,2,,2,,,0,0,1
,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,
