index,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,DISCREPANCY,GRADE_DIFFER,INS_DIFFER,DISCREPANCY_LEVEL,DISCREPANCY_S
13,Araria,Araria,2022-2023,BR01P3R02,MRL85-BANSWARI TO SAMDAH,13.126,1,1,1,1,0,0,0,0.0,0.0
15,Araria,Araria,2022-2023,BR01P3R04,MRL03-PMGSY ROAD TO FULL KUMAR TOLA,8.12,1,1,1,1,0,0,0,0.0,0.0
22,Araria,Bhargama,2022-2023,BR01P3R08,MRL04-Mahthawa to Shekhpura Jagta,6.92,1,1,2,1,0,0,1,0.0,0.0
36,Araria,Forbisganj,2022-2023,BR01P3R09,MRL20-NH-57 ZAKIRHUSSAIN BARDAHACHOWK TO SIMRAHA CHOWK,14.517,1,1,2,1,0,0,1,0.0,0.0
37,Araria,Forbisganj,2022-2023,BR01P3R10,MRL14-Forbesganj to Fena,34.0,1,1,2,1,0,0,1,0.0,0.0
38,Araria,Forbisganj,2022-2023,BR01P3R11,MRL23-DHOLBAJA TO PARWA,8.6,1,1,1,1,0,0,0,0.0,0.0
39,Araria,Forbisganj,2022-2023,BR01P3R12,MRL25-PWD ROAD TO RAMAI VI GHORAGHAT,7.2,1,1,2,1,0,0,1,0.0,0.0
41,Araria,Joukihat,2013-2014,BR01R197, Matiyari (Dabhra) -  Domia,0.0,1,1,1,1,0,0,0,0.0,0.0
43,Araria,Joukihat,2016-2017,BR01R244,L081-KHIRDA  TO MAJGAMA (VR81) ,0.0,1,1,1,1,0,0,0,0.0,0.0
44,Araria,Joukihat,2017-2018,BR01R278,L046-BAIRGACHHI TO SATBHITA (VR46) ,0.0,1,1,2,1,0,0,1,0.0,0.0
47,Araria,Joukihat,2017-2018,BR01R303,L032-MATIYARI TO RAHIKPUR (VR32) ,0.0,1,1,1,1,0,0,0,0.0,0.0
52,Araria,Joukihat,2018-2019,BR01R-382,"LRP (Taran)  - Balua Path including 3 link roads: Shyampur-Sukhsena, Dalatpur link, Daulatpur-Kamad",0.0,1,1,2,1,0,0,1,0.0,0.0
64,Araria,Narpatganj,2019-2020,BR01P2R-07,T01-GHURNA TO JAI NAGAR VIA ACHARA,31.0,1,1,2,1,0,0,1,0.0,0.0
71,Araria,Palasi,2019-2020,BR01P2R-09,T02-NH-327E RANI CHOWK TO PWD ROAD PLASI HQ VIA DUMARIA ,24.0,1,1,1,1,0,0,0,0.0,0.0
79,Araria,Raniganj,2022-2023,BR01P3R15,MRL04-NH-327 E Betauna to Kupari Panchyat,5.58,1,1,1,1,0,0,0,0.0,0.0
80,Araria,Raniganj,2022-2023,BR01P3R16,MRL01-PWD Road Bistoriya to Jagta,6.01,1,1,2,1,0,0,1,0.0,0.0
