Textbox2,Textbox256,Textbox3
State: Karnataka     District: All Districts     From Month: December     From Year: 2020     To Month: December     To Year: 2023,Note : All Length in Kms.,NQM* : National Quality Monitor     SQM# : State Quality Monitor

Textbox39,Textbox37,Textbox35,Textbox33,Textbox31,Textbox11,Textbox15,Textbox17,Textbox13,Textbox19,Textbox21,Textbox40,DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE,Textbox67,Textbox72,Textbox73,Textbox74
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2000-2001,KN0101,Malagi Nandihal,3.000,0,--,1,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2013-2014,KN0142,MRL3-Kagalagomba vasti to Kagalagomba,5.000,0,--,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2013-2014,KN0143,MRL1-Manneri RC to Dhanakshirur,7.800,0,--,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0150,MRL53-Neelagund to Mustigeri,4.270,1,Satisfactory,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0151,MRL49-Kabbalageri to NH-369 via Adagal,4.120,1,Required Improvement,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0152,MRL41-Timsagar Kelawadi road to Join Lingapur Neelanagar Road ,4.160,1,Satisfactory,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0152A,MRL41-Timsagar Kelawadi road to Join Lingapur Neelanagar Road ,0.000,0,--,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0153,"MRL15-Gubberakoppa to Join Guledagudda via HIrebudihal, Teggi, Tougunshi, Muradi",14.770,1,Satisfactory,4,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0153A,"MRL15-Gubberakoppa to Join Guledagudda via HIrebudihal, Teggi, Tougunshi, Muradi",0.000,0,--,2,Satisfactory,Total,"8,762.203",819,"4,707"
Sr.No.,District,Block,Sanction Year,Package No.,Road Name,Road Length,NQM* Inspection Count,NQM* Grading,SQM# Inspection Count,SQM# Grading,1,Bagalkot,Badami,2020-2021,KN0153B,"MRL15-Gubberakoppa to Join Guledagudda via HIrebudihal, Teggi, Tougunshi, Muradi",0.000,0,--,2,Satisfactory,Total,"8,762.203",819,"4,707"
